,Medicine,Unit,UK.unit.price,SA.unit.price,India.unit.price,generic.price,hand.flag.keep,
97,gemcitabine,vial 1000 mg,40.16,20.2,4.71,6.42099,n,
98,gemcitabine,vial 200 mg,5.19,5.02,0.94,1.7682,n,
99,gentamicin,2 mL vial 20mg,1.43,NA,0.04,NA,y,
100,gentamicin,2 mL vial 80mg,0.78,0.23,0.04,NA,y,
101,glucagon,1 mL injection 1mg,14.98,19.51,1.64,NA,n,
102,haloperidol,1 mL ampoule 5mg,1.4,NA,0.02,0.2442,n,
103,haloperidol,1 mL ampoule 5mg,1.4,NA,0.02,0.2442,n,
104,haloperidol,1 mL ampoule 5mg,1.4,NA,0.02,0.2442,n,
105,heparin sodium,1 mL ampoule 133.3mg,NA,NA,NA,2.50167,n,
106,heparin sodium,1 mL ampoule 6.7mg,0.99,0.17,0.02,0.35558,n,
107,heparin sodium,1 mL ampoule 6.7mg,0.99,0.17,0.02,0.35558,n,
108,heparin sodium,1 mL ampoule 33.3mg,2.09,0.28,0.14,0.80649,n,
109,heparin sodium,1 mL ampoule 33.3mg,2.09,0.28,0.14,0.80649,n,
110,hydralazine,powder for injection 20 mg,2.88,NA,NA,0.25234,n,
111,hydrocortisone,powder for injection 100 mg,NA,0.78,0.48,0.727,n,
112,hydrocortisone,powder for injection 100 mg,NA,0.78,0.48,0.727,n,
113,min,1 mL ampoule 1mg,1.15,NA,NA,NA,n,
114,hydrobromide,injection 600 mcg,1.33,NA,NA,0.24518,n,
115,hydrobromide,injection 400 mcg,1.1,NA,NA,0.24412,n,
116,ibuprofen,1 mL injection 5mg,46.8,NA,NA,0.60507,n,
117,ifosfamide,powder for injection 1 g,118.72,28.71,2.33,2.35133,n,
118,ifosfamide,powder for injection 2 g,233.84,48.71,4.65,4.09765,n,
120,imipenem/cilastatin,powder for  injection 500 mg/500 mg,3.3,3.12,11.86,NA,y,
122,imipenem/cilastatin,powder for injection 250 mg/250 mg,NA,1.56,8.5,NA,y,
123,(soluble),10 mL injection 13.9mg,NA,NA,0.79,1.22423,n,
124,(soluble),10 mL injection 34.7mg,9.72,1.83,5.8,2.15308,n,
125,acting insulin,10 mL injection 13.9mg,NA,NA,0.79,NA,n,
126,acting insulin,10 mL injection 34.7mg,9.72,1.83,4.19,NA,n,
127,irinotecan,5 mL vial 100mg,143.81,NA,21.43,1.17225,n,
128,irinotecan,25 mL vial 500mg,46.83,NA,107.14,3.44123,n,
129,irinotecan,2 mL vial 40mg,5.58,NA,10.71,0.8319,n,
130,kanamycin,powder for injection 1 g,NA,NA,0.43,NA,y,
131,ketamine,10 mL vial 500mg,9.1,2.3,0.07,0.79492,n,
132,,2 mL ampoule 100mg,NA,NA,NA,NA,n,
133,lidocaine,lidocaine + glucose,NA,NA,0.06,0.24222,n,
134,lidocaine,5 mL ampoule 100mg,0.26,NA,0.02,0.24416,n,
135,lidocaine,vial 10 mg,0.05,0.4,0,0.60522,n,
136,lidocaine,vial 20 mg,0.06,0.14,0,0.60543,n,
137,(adrenaline),vial 10 mg + 0.005mg,0.13,NA,NA,0.60534,n,
138,(adrenaline),vial 20 mg + 0.005mg,0.12,NA,NA,0.60556,n,
139,lorazepam,1 mL ampoule 2mg,NA,NA,0.06,0.24395,n,
140,lorazepam,1 mL ampoule 4mg,0.46,NA,0.21,0.24591,n,
141,sulfate,10 mL ampoule 5g,0.73,1.36,0.09,0.25978,n,
142,sulfate,2 mL ampoule 1g,0.42,0.27,0.02,0.24556,n,
143,mannitol,1 mL solution 100mg,0.01,NA,0,0.60592,n,
144,mannitol,1 mL solution 100mg,0.01,NA,0,0.60592,n,
145,mannitol,1 mL solution 200mg,0.02,0.01,0.01,0.60683,n,
146,mannitol,1 mL solution 200mg,0.02,0,0.01,0.60683,n,
147,erone acetate,1 mL vial 150mg,7.81,0.42,3.32,NA,n,
148,antimoniate,0,NA,NA,NA,NA,n,
149,melarsoprol,5 mL ampoule 180mg,NA,NA,NA,NA,n,
150,melarsoprol,5 mL ampoule 180mg,NA,NA,NA,NA,n,
151,mesna,10 mL ampoule 1000mg,38.23,NA,0.88,1.12833,n,
152,mesna,4 mL ampoule 400mg,17.43,2.4,0.35,0.59653,n,
153,methotrexate,powder for injection 50 mg,1.83,1.93,0.26,5.98983,n,
154,one,5 mL vial 200mg,NA,NA,NA,1.35856,n,
155,benzylpenicillin,powder for injection 1 g,NA,NA,NA,NA,n,
156,benzylpenicillin,powder for injection 3 g,NA,NA,0.49,NA,n,
157,propofol,1 mL injection 20mg,0.05,NA,0.17,0.608,n,
158,propofol,1 mL injection 10mg,0.03,0.02,0.03,0.6065,n,
159,prostaglandin,1 mL solution for injection,NA,NA,NA,NA,n,
160,E1,0 .5mg,NA,NA,NA,NA,n,
161,prostaglandin,1 mL solution for injection,NA,NA,NA,NA,n,
162,E2,1 mg,NA,NA,NA,NA,n,
163,sulfate,5 mL ampoule 50mg,6.44,4.08,0.08,NA,n,
164,sulfate,5 mL ampoule 50mg,6.44,4.08,0.08,NA,n,
165,pyridostigmine,1 mL ampoule 1mg,NA,NA,NA,NA,n,
166,quinine,2 mL ampoule 600mg,NA,1.1,0.11,0.34474,n,
167,ranitidine,2 mL ampoule 50mg,0.48,0.49,0.01,0.2434,n,
168,ribavirin,10 mL solution 800mg,NA,NA,NA,0.73512,n,
169,ribavirin,10 mL solution 800mg,NA,NA,NA,0.73512,n,
170,ribavirin,10 mL solution 1g,NA,NA,NA,0.76765,n,
171,ribavirin,10 mL solution 1g,NA,NA,NA,0.76765,n,
172,rituximab,50 mL vial 500mg,0,8,NA,6,n,
173,rituximab,10 mL vial 100mg,227.01,0,NA,90.28459,n,
174,salbutamol,5 mL ampoule 50mcg,NA,NA,NA,0.24201,n,
175,edetate,5 mL ampoule 1000mg,NA,NA,NA,0.24644,n,
176,sodium nitrite,10 mL ampoule 300mg,NA,NA,NA,0.2425,n,
177,nitroprusside,powder for injection 50 mg,NA,NA,0.64,0.25244,n,
178,stibogluconate,30 mL vial 3g,25.91,NA,NA,NA,n,
179,antimoniate,N/A,NA,NA,NA,NA,n,
180,thiosulfate,50 mL ampoule 12500mg,NA,NA,NA,0.27625,n,
181,spectinomycin,powder for injection 2 g,NA,NA,2.86,NA,n,
182,streptokinase,powder for injection 15 .6mg,101.97,3,3.65,19.59983,n,
183,streptomycin,powder for injection 1000 mg,NA,0.29,0.06,NA,y,
184,streptomycin,powder for injection 1000 mg,NA,0.29,0.06,NA,y,
185,sulfamethoxazole/trimethoprim,5 mL ampoule 400mg+80mg,2.31,NA,NA,0.25077,y,
186,sulfamethoxazole/trimethoprim,5 mL ampoule 400mg+80mg,2.31,NA,NA,0.25077,n,duplicate
187,e +,10 mL ampoule,NA,NA,NA,NA,n,
188,sulfamethoxazole/trimethoprim,10mL ampoule 800mg+160mg,4.62,NA,NA,0.25953,y,
189,suramin sodium,powder for injection 1 g,NA,NA,NA,NA,n,
190,suxamethonium,0,NA,NA,NA,0.605,n,
191,suxamethonium,2 mL ampoule 100mg,0.86,NA,0.12,0.30925,n,
192,testosterone,1 mL ampoule 200mg,NA,NA,1.34,0.27178,n,
193,tranexamic acid,10 mL ampoule 1000mg,3.9,8.47,0.54,0.36767,n,
194,trastuzumab,powder for injection 150 mg,529.62,NA,NA,NA,n,
195,trastuzumab,powder for injection 440 mg,NA,NA,NA,NA,n,
196,trastuzumab,powder for injection 60 mg,NA,NA,NA,NA,n,
197,valproate),10 mL ampoule 1g,NA,NA,2.86,0.27698,n,
198,valproate),4 mL ampoule 400mg,5.09,NA,1.14,0.25599,n,
199,vancomycin,powder for injection 250 mg,0.72,0.88,0.28,0.90777,y,
200,vecuronium,powder for injection 10 mg,4.38,NA,1.05,NA,n,
201,vecuronium,powder for injection 10 mg,4.38,NA,1.05,NA,n,
202,verapamil,2 mL ampoule 5mg,1.41,NA,NA,0.24252,n,
203,vinblastine,powder for injection 10 mg,19.27,6.2,1.72,4.03626,n,
204,vincristine,powder for injection 5 mg,23.43,13.92,0.24,4.15039,n,
205,vincristine,powder for injection 1 mg,4.08,2.78,0.05,1.31408,n,
206,vinorelbine,1 mL vial 10mg,6.23,6.76,36.79,NA,n,
207,vinorelbine,5 mL vial 50mg,23.41,33.61,152.63,NA,n,
208,or AZT),20 mL vial 200mg,11.6,NA,0.2,0.67216,n,
209,metronidazole,100mL vial 500mg,0.47,0.09,0.00616,0.6132,y,hand inputted as missing
